class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
181,3868,Agelaius tricolor,Tricolored Blackbird,Icteridae,Agelaius,0.7272727272727273,0.8,0.7619047619047619,10,0.8
182,3901,Quiscalus quiscula,Common Grackle,Icteridae,Quiscalus,0.875,0.7,0.7777777777777778,10,0.7
183,3938,Ptilotula penicillata,White-plumed Honeyeater,Meliphagidae,Ptilotula,0.8181818181818182,0.9,0.8571428571428571,10,0.9
184,3961,Anthus pratensis,Meadow Pipit,Motacillidae,Anthus,0.9090909090909091,1.0,0.9523809523809523,10,1.0
185,3990,Oenanthe familiaris,Familiar Chat,Muscicapidae,Oenanthe,1.0,1.0,1.0,10,1.0
186,4040,Poecile hudsonicus,Boreal Chickadee,Paridae,Poecile,0.5,0.6,0.5454545454545454,10,0.6
187,4043,Poecile rufescens,Chestnut-backed Chickadee,Paridae,Poecile,0.6,0.3,0.4,10,0.3
188,4068,Setophaga cerulea,Cerulean Warbler,Parulidae,Setophaga,0.75,0.9,0.8181818181818182,10,0.9
189,4070,Setophaga citrina,Hooded Warbler,Parulidae,Setophaga,0.9,0.9,0.9,10,0.9
190,4073,Setophaga dominica,Yellow-throated Warbler,Parulidae,Setophaga,0.7777777777777778,0.7,0.7368421052631579,10,0.7
191,4084,Setophaga ruticilla,American Redstart,Parulidae,Setophaga,0.75,0.6,0.6666666666666666,10,0.6
192,4089,Vermivora chrysoptera,Golden-winged Warbler,Parulidae,Vermivora,0.8333333333333334,0.5,0.625,10,0.5
193,4099,Calamospiza melanocorys,Lark Bunting,Passerellidae,Calamospiza,0.7777777777777778,0.7,0.7368421052631579,10,0.7
194,4100,Centronyx henslowii,Henslow's Sparrow,Passerellidae,Centronyx,0.9,0.9,0.9,10,0.9
195,4118,Pipilo erythrophthalmus,Eastern Towhee,Passerellidae,Pipilo,0.5714285714285714,0.8,0.6666666666666666,10,0.8
196,4138,Eopsaltria australis,Eastern Yellow Robin,Petroicidae,Eopsaltria,0.9,0.9,0.9,10,0.9
197,4142,Petroica macrocephala,Tomtit,Petroicidae,Petroica,0.6153846153846154,0.8,0.6956521739130435,10,0.8
198,4178,Regulus ignicapilla,Common Firecrest,Regulidae,Regulus,0.8181818181818182,0.9,0.8571428571428571,10,0.9
199,4189,Sitta pusilla,Brown-headed Nuthatch,Sittidae,Sitta,0.7777777777777778,0.7,0.7368421052631579,10,0.7
200,4203,Chamaea fasciata,Wrentit,Sylviidae,Chamaea,1.0,0.8,0.8888888888888888,10,0.8
201,4228,Saltator coerulescens,Grayish Saltator,Thraupidae,Saltator,0.8,0.8,0.8,10,0.8
202,4245,Thraupis episcopus,Blue-gray Tanager,Thraupidae,Thraupis,0.875,0.7,0.7777777777777778,10,0.7
203,4293,Contopus cooperi,Olive-sided Flycatcher,Tyrannidae,Contopus,0.5833333333333334,0.7,0.6363636363636364,10,0.7
204,4295,Contopus sordidulus,Western Wood-Pewee,Tyrannidae,Contopus,0.8571428571428571,0.6,0.7058823529411765,10,0.6
205,4302,Empidonax hammondii,Hammond's Flycatcher,Tyrannidae,Empidonax,0.9,0.9,0.9,10,0.9
206,4308,Fluvicola nengeta,Masked Water-Tyrant,Tyrannidae,Fluvicola,0.9,0.9,0.9,10,0.9
207,4313,Myiarchus cinerascens,Ash-throated Flycatcher,Tyrannidae,Myiarchus,0.875,0.7,0.7777777777777778,10,0.7
208,4350,Zosterops japonicus,Warbling White-eye,Zosteropidae,Zosterops,0.6,0.6,0.6,10,0.6
209,4352,Zosterops palpebrosus,Indian White-eye,Zosteropidae,Zosterops,0.6666666666666666,0.6,0.631578947368421,10,0.6
210,4372,Cochlearius cochlearius,Boat-billed Heron,Ardeidae,Cochlearius,0.9,0.9,0.9,10,0.9
211,4386,Nycticorax nycticorax,Black-crowned Night Heron,Ardeidae,Nycticorax,0.9,0.9,0.9,10,0.9
212,4391,Pelecanus crispus,Dalmatian Pelican,Pelecanidae,Pelecanus,0.75,0.9,0.8181818181818182,10,0.9
213,4419,Phoenicopterus ruber,American Flamingo,Phoenicopteridae,Phoenicopterus,0.8333333333333334,1.0,0.9090909090909091,10,1.0
214,4442,Dryobates pubescens,Downy Woodpecker,Picidae,Dryobates,0.5833333333333334,0.7,0.6363636363636364,10,0.7
215,4553,Megascops asio,Eastern Screech-Owl,Strigidae,Megascops,1.0,0.6,0.75,10,0.6
216,4578,Phalacrocorax pelagicus,Pelagic Cormorant,Phalacrocoracidae,Phalacrocorax,0.5714285714285714,0.8,0.6666666666666666,10,0.8
217,4579,Phalacrocorax penicillatus,Brandt's Cormorant,Phalacrocoracidae,Phalacrocorax,0.6363636363636364,0.7,0.6666666666666666,10,0.7
218,4596,Trogon rufus,Black-throated Trogon,Trogonidae,Trogon,1.0,1.0,1.0,10,1.0
219,4609,Ginglymostoma cirratum,Nurse Shark,Ginglymostomatidae,Ginglymostoma,0.8333333333333334,1.0,0.9090909090909091,10,1.0
220,4632,Oreotragus oreotragus,Klipspringer,Bovidae,Oreotragus,0.7692307692307693,1.0,0.8695652173913043,10,1.0
221,4641,Tragelaphus oryx,Eland,Bovidae,Tragelaphus,0.8888888888888888,0.8,0.8421052631578947,10,0.8
