class_index,category_id,species_name,precision,recall,f1,support
315,6562,Panax trifolius,0.8,0.8,0.8,10
316,6568,Schefflera actinophylla,0.875,0.7,0.7777777777777778,10
317,6585,Ilex opaca,1.0,0.2,0.3333333333333333,10
318,6590,Achillea millefolium,0.6,0.6,0.6,10
319,6609,Ambrosia salsola,0.6153846153846154,0.8,0.6956521739130435,10
320,6639,Artemisia vulgaris,0.35714285714285715,0.5,0.4166666666666667,10
321,6655,Bidens aristosa,0.6666666666666666,0.8,0.7272727272727273,10
322,6716,Cirsium texanum,0.8888888888888888,0.8,0.8421052631578947,10
323,6734,Crepis tectorum,0.25,0.2,0.2222222222222222,10
324,6779,Erigeron sumatrensis,0.3,0.3,0.3,10
325,6785,Eupatorium altissimum,0.875,0.7,0.7777777777777778,10
326,6787,Eupatorium capillifolium,0.5,0.6,0.5454545454545454,10
327,6800,Gaillardia aristata,0.6428571428571429,0.9,0.75,10
328,6818,Helenium amarum,0.5555555555555556,0.5,0.5263157894736842,10
329,6843,Hymenopappus artemisiifolius,0.5833333333333334,0.7,0.6363636363636364,10
330,6874,Leucanthemum vulgare,0.9090909090909091,1.0,0.9523809523809523,10
331,6893,Melanthera nivea,0.7142857142857143,1.0,0.8333333333333334,10
332,6901,Nabalus albus,0.6,0.6,0.6,10
333,6912,Ozothamnus leptophyllus,0.6666666666666666,0.6,0.631578947368421,10
334,6918,Packera tampicana,0.8,0.8,0.8,10
335,6948,Polymnia canadensis,0.35294117647058826,0.6,0.4444444444444444,10
336,6972,Senecio glastifolius,1.0,0.5,0.6666666666666666,10
337,6990,Silphium terebinthinaceum,0.6666666666666666,0.8,0.7272727272727273,10
338,7005,Solidago rugosa,0.6153846153846154,0.8,0.6956521739130435,10
339,7013,Sonchus asper,0.6666666666666666,0.2,0.3076923076923077,10
340,7039,Taraxacum officinale,0.625,0.5,0.5555555555555556,10
341,7047,Tithonia tubaeformis,0.5454545454545454,0.6,0.5714285714285714,10
342,7092,Campanula prenanthoides,0.875,0.7,0.7777777777777778,10
343,7100,Jasione montana,0.875,0.7,0.7777777777777778,10
344,7139,Echium plantagineum,0.75,0.6,0.6666666666666666,10
345,7172,Myosotis latifolia,0.5,0.7,0.5833333333333334,10
346,7173,Myosotis scorpioides,0.5,0.6,0.5454545454545454,10
347,7226,Cakile maritima,0.6666666666666666,0.8,0.7272727272727273,10
348,7236,Cardamine hirsuta,0.5,0.3,0.375,10
349,7237,Cardamine impatiens,0.5454545454545454,0.6,0.5714285714285714,10
350,7246,Dithyrea californica,0.5833333333333334,0.7,0.6363636363636364,10
351,7299,Pseudowintera colorata,0.25,0.1,0.14285714285714285,10
352,7327,Dysphania ambrosioides,0.4,0.4,0.4,10
353,7339,Anredera cordifolia,0.45454545454545453,0.5,0.47619047619047616,10
354,7364,Echinocereus enneacanthus,0.8333333333333334,0.5,0.625,10
355,7366,Echinocereus pectinatus,0.8888888888888888,0.8,0.8421052631578947,10
356,7371,Echinocereus stramineus,0.9,0.9,0.9,10
357,7375,Escobaria vivipara,0.6666666666666666,1.0,0.8,10
358,7376,Ferocactus cylindraceus,0.8888888888888888,0.8,0.8421052631578947,10
359,7434,Honckenya peploides,0.46153846153846156,0.6,0.5217391304347826,10
360,7451,Silene flos-cuculi,0.75,0.9,0.8181818181818182,10
361,7464,Stellaria graminea,0.7,0.7,0.7,10
362,7496,Montia parvifolia,0.42857142857142855,0.3,0.35294117647058826,10
363,7513,Limonium perezii,0.875,0.7,0.7777777777777778,10
364,7520,Bistorta vivipara,0.8,0.8,0.8,10
365,7526,Eriogonum deflexum,0.2857142857142857,0.2,0.23529411764705882,10
366,7536,Fallopia cilinodis,0.25,0.3,0.2727272727272727,10
367,7552,Persicaria maculosa,0.6666666666666666,0.6,0.631578947368421,10
368,7558,Polygonum aviculare,0.3333333333333333,0.3,0.3157894736842105,10
369,7559,Polygonum paronychia,0.6363636363636364,0.7,0.6666666666666666,10
370,7560,Pterostegia drymarioides,0.4444444444444444,0.4,0.42105263157894735,10
371,7567,Rumex hymenosepalus,0.7272727272727273,0.8,0.7619047619047619,10
372,7576,Canotia holacantha,0.7142857142857143,0.5,0.5882352941176471,10
373,7611,Cevallia sinuata,0.7,0.7,0.7,10
374,7613,Mentzelia hispida,0.7777777777777778,0.7,0.7368421052631579,10
375,7619,Coriaria arborea,0.5555555555555556,0.5,0.5263157894736842,10
376,7625,Ecballium elaterium,0.5454545454545454,0.6,0.5714285714285714,10
377,7663,Symphoricarpos occidentalis,0.6666666666666666,0.6,0.631578947368421,10
378,7678,Viburnum acerifolium,0.45454545454545453,0.5,0.47619047619047616,10
379,7707,Arbutus unedo,0.5833333333333334,0.7,0.6363636363636364,10
380,7709,Arctostaphylos glauca,0.6,0.3,0.4,10
381,7715,Calluna vulgaris,0.4,0.6,0.48,10
382,7718,Ceratiola ericoides,0.8181818181818182,0.9,0.8571428571428571,10
