class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
134,2855,Parupeneus spilurus,Blackspot Goatfish,Mullidae,Parupeneus,0.7,0.7,0.7,10,0.7
135,2858,Perca flavescens,Yellow Perch,Percidae,Perca,0.875,0.7,0.7777777777777778,10,0.7
136,2866,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,Pomacentridae,Abudefduf,1.0,0.7,0.8235294117647058,10,0.7
137,2878,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,0.6666666666666666,0.6,0.631578947368421,10,0.6
138,2884,Paralabrax clathratus,Kelp Bass,Serranidae,Paralabrax,0.6363636363636364,0.7,0.6666666666666666,10,0.7
139,2914,Plotosus lineatus,Striped Eel Catfish,Plotosidae,Plotosus,0.8571428571428571,0.6,0.7058823529411765,10,0.6
140,2919,Hippocampus histrix,Spiny Seahorse,Syngnathidae,Hippocampus,0.8333333333333334,1.0,0.9090909090909091,10,1.0
141,2973,Pristimantis achatinus,Cachabi Robber Frog,Craugastoridae,Pristimantis,0.5454545454545454,0.6,0.5714285714285714,10,0.6
142,3014,Litoria fallax,Eastern Dwarf Treefrog,Pelodryadidae,Litoria,0.5454545454545454,0.6,0.5714285714285714,10,0.6
143,3040,Rana aurora,Northern Red-legged Frog,Ranidae,Rana,0.4,0.4,0.4,10,0.4
144,3070,Aneides aeneus,Green Salamander,Plethodontidae,Aneides,0.6666666666666666,1.0,0.8,10,1.0
145,3107,Triturus carnifex,Italian Crested Newt,Salamandridae,Triturus,0.42857142857142855,0.3,0.35294117647058826,10,0.3
146,3120,Aquila heliaca,Imperial Eagle,Accipitridae,Aquila,0.5,0.5,0.5,10,0.5
147,3177,Pernis apivorus,European Honey-buzzard,Accipitridae,Pernis,0.5,0.5,0.5,10,0.5
148,3199,Anas georgica,Yellow-billed Pintail,Anatidae,Anas,0.7777777777777778,0.7,0.7368421052631579,10,0.7
149,3244,Cygnus olor,Mute Swan,Anatidae,Cygnus,0.8571428571428571,0.6,0.7058823529411765,10,0.6
150,3258,Melanitta perspicillata,Surf Scoter,Anatidae,Melanitta,0.5333333333333333,0.8,0.64,10,0.8
151,3259,Mergellus albellus,Smew,Anatidae,Mergellus,0.2727272727272727,0.3,0.2857142857142857,10,0.3
152,3260,Mergus merganser,Common Merganser,Anatidae,Mergus,0.4,0.6,0.48,10,0.6
153,3306,Archilochus alexandri,Black-chinned Hummingbird,Trochilidae,Archilochus,0.6666666666666666,0.6,0.631578947368421,10,0.6
154,3321,Heliodoxa jacula,Green-crowned Brilliant,Trochilidae,Heliodoxa,0.7692307692307693,1.0,0.8695652173913043,10,1.0
155,3358,Charadrius obscurus,Red-breasted Dotterel,Charadriidae,Charadrius,0.5,0.8,0.6153846153846154,10,0.8
156,3364,Charadrius wilsonia,Wilson's Plover,Charadriidae,Charadrius,0.6923076923076923,0.9,0.782608695652174,10,0.9
157,3367,Pluvialis dominica,American Golden-Plover,Charadriidae,Pluvialis,0.7142857142857143,1.0,0.8333333333333334,10,1.0
158,3372,Vanellus coronatus,Crowned Lapwing,Charadriidae,Vanellus,0.8888888888888888,0.8,0.8421052631578947,10,0.8
159,3385,Haematopus palliatus,American Oystercatcher,Haematopodidae,Haematopus,0.8571428571428571,0.6,0.7058823529411765,10,0.6
160,3398,Chroicocephalus hartlaubii,Hartlaub's Gull,Laridae,Chroicocephalus,0.3333333333333333,0.3,0.3157894736842105,10,0.3
161,3402,Chroicocephalus ridibundus,Black-headed Gull,Laridae,Chroicocephalus,0.25,0.3,0.2727272727272727,10,0.3
162,3410,Larus cachinnans,Caspian Gull,Laridae,Larus,0.42857142857142855,0.3,0.35294117647058826,10,0.3
163,3417,Larus glaucescens,Glaucous-winged Gull,Laridae,Larus,0.36363636363636365,0.4,0.38095238095238093,10,0.4
164,3481,Numenius madagascariensis,Far Eastern Curlew,Scolopacidae,Numenius,1.0,0.9,0.9473684210526315,10,0.9
165,3490,Tringa glareola,Wood Sandpiper,Scolopacidae,Tringa,0.8333333333333334,0.5,0.625,10,0.5
166,3529,Patagioenas flavirostris,Red-billed Pigeon,Columbidae,Patagioenas,0.7777777777777778,0.7,0.7368421052631579,10,0.7
167,3635,Pavo cristatus,Common Peafowl,Phasianidae,Pavo,0.7,0.7,0.7,10,0.7
168,3673,Zapornia flavirostra,Black Crake,Rallidae,Zapornia,0.9090909090909091,1.0,0.9523809523809523,10,1.0
169,3715,Passerina ciris,Painted Bunting,Cardinalidae,Passerina,1.0,0.6,0.75,10,0.6
170,3719,Pheucticus chrysopeplus,Yellow Grosbeak,Cardinalidae,Pheucticus,0.9,0.9,0.9,10,0.9
171,3728,Certhia americana,Brown Creeper,Certhiidae,Certhia,0.5,0.6,0.5454545454545454,10,0.6
172,3759,Corvus ossifragus,Fish Crow,Corvidae,Corvus,0.4444444444444444,0.4,0.42105263157894735,10,0.4
173,3777,Psilorhinus morio,Brown Jay,Corvidae,Psilorhinus,0.35714285714285715,0.5,0.4166666666666667,10,0.5
174,3778,Pyrrhocorax graculus,Alpine Chough,Corvidae,Pyrrhocorax,0.8,0.8,0.8,10,0.8
175,3804,Taeniopygia bichenovii,Double-barred Finch,Estrildidae,Taeniopygia,0.8333333333333334,0.5,0.625,10,0.5
